;-------------------------------------------------
;					Abilities
;-------------------------------------------------

;Sensuality
Ｃ感覚,C Sense
Ｂ感覚,B Sense
Ｖ感覚,V Sense
Ａ感覚,A Sense
Ｆ感覚,F Sense

;Techniques
従順,Obedience
欲望,Desire
技巧,Technique
奉仕技術,Service Skill
性交技術,Sex Skill
話術,Speech
奉仕精神,Servitude
露出癖,Exhibitionism

;Distinctive Habits
サドっ気,Sadism
マゾっ気,Masochism
レズっ気,Lesbianism
ＢＬっ気,Boy Love

;Addiction,
性交中毒,Sex Addict
自慰中毒,MasturbAdict;- Masturbation Addiction
精液中毒,Semen Addict
レズ中毒,Lesbian Addict
ＢＬ中毒,BoyLove Addict
噴乳中毒,Milking Addict
放尿中毒,Pissing Addict
売春中毒,ProstituAddict
触手中毒,Tentacle Addict
獣姦中毒,BestialityAddict
Ｆ中毒,F Addict;- No idea what F is yet.
